id,name,expanded_form,tolkien_entity,match_kind,artifact_type,domain,source_type,source_name,title,authors,year,published_date,updated_date,url,doi,repo,package_name,evidence_snippet,confidence,status,first_seen,last_seen,raw_source_id
5a80bac280070c5ee7d67771,FRODO,A novel approach to micro-macro multilevel regression,Frodo,full_acronym,dataset,machine learning / software,paper,arXiv,FRODO: A novel approach to micro-macro multilevel regression,"['Shaun McDonald', 'Alexandre Leblanc', 'Saman Muthukumarana', 'David Campbell']",2024,2024-11-03,2024-11-05,http://arxiv.org/abs/2411.01686v2,,,,"FRODO: A novel approach to micro-macro multilevel regression. Within the field of hierarchical modelling, little attention is paid to micro-macro models: those in which group-level outc",0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/2411.01686v2
56c22169babc0a81d3fa5f30,FRODO,Free rejection of out-of-distribution samples: application to chest x-ray analysis,Frodo,full_acronym,dataset,machine learning / software,paper,arXiv,FRODO: Free rejection of out-of-distribution samples: application to chest x-ray analysis,"['Erdi Çallı', 'Keelin Murphy', 'Ecem Sogancioglu', 'Bram van Ginneken']",2019,2019-07-02,2019-07-02,http://arxiv.org/abs/1907.01253v1,,,,"FRODO: Free rejection of out-of-distribution samples: application to chest x-ray analysis. In this work, we propose a method to reject out-of-distribution samples which can be adapted t",0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/1907.01253v1
e5632ee63f7cf4628fa8493c,GANDALF,A fine-grained hardware-software co-design for preventing memory attacks,Gandalf,full_acronym,tool,machine learning / software,paper,arXiv,GANDALF: A fine-grained hardware-software co-design for preventing memory attacks,"['Gnanambikai Krishnakumar', 'Patanjali SLPSK', 'Prasanna Karthik Vairam', 'Chester Rebeiro']",2017,2017-02-23,2017-02-23,http://arxiv.org/abs/1702.07223v1,,,,GANDALF: A fine-grained hardware-software co-design for preventing memory attacks. Reading or writing outside the bounds of a buffer is a serious security vulnerability that has been expl,0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/1702.07223v1
0e0b575b63f3ae3ae9303a87,GANDALF,Gated Adaptive Network for Deep Automated Learning of Features,Gandalf,full_acronym,benchmark,machine learning / software,paper,arXiv,GANDALF: Gated Adaptive Network for Deep Automated Learning of Features,"['Manu Joseph', 'Harsh Raj']",2022,2022-07-18,2024-01-10,http://arxiv.org/abs/2207.08548v6,,,,"GANDALF: Gated Adaptive Network for Deep Automated Learning of Features. We propose a novel high-performance, interpretable, and parameter \& computationally efficient deep learning archi",0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/2207.08548v6
fc0220d11e5a76877f566ced,SAM,"ViT-H model outperforms the state-ofthe-art Zerowaste, and TACO datasets with a significant increase of +30 in IoU, and it closely approaches performance levels of TrashCan 1",Samwise Gamgee,full_acronym,dataset,machine learning / software,paper,arXiv,Don't waste SAM,"['Nermeen Abou Baker', 'Uwe Handmann']",2026,2026-06-09,2026-06-09,http://arxiv.org/abs/2606.10696v1,,,,"Don't waste SAM. Meta AI has recently released the Segment Anything Model (SAM), which demonstrates exceptional zero-shot image segmentation performance across various tasks with remarkable accur",0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/2606.10696v1
2337259aafe0445c5348726a,SAM,"Audio encapsulate rich static priors, our empirical analysis reveals that these representations struggle in incremental settings",Samwise Gamgee,full_acronym,benchmark,machine learning / software,paper,arXiv,"Listen, Look, and Learn: Learning Without Forgetting through SAM-Audio","['Avi Gupta', 'Nilotpal Sinha', 'Vishnu Raj', 'Sambuddha Saha', 'Pratik Joshi', 'Koteswar Rao Jerripothula', 'Tammam Tillo']",2026,2026-06-09,2026-06-09,http://arxiv.org/abs/2606.10887v1,,,,"Listen, Look, and Learn: Learning Without Forgetting through SAM-Audio. Class-Incremental Learning (CIL) aims to continuously learn new classes without forgetting previously acquired knowledge. While recent CIL advances have spurred significant",0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/2606.10887v1
70a03a7b85f979888ac59d8f,SAM,Med3D for CT and SegAnyPET for PET to distill their knowledge into a lightweight student network,Samwise Gamgee,full_acronym,dataset,machine learning / software,paper,arXiv,Mutual Distillation of Dual-Foundation Models for Semi-Supervised PET/CT Segmentation,"['Fuyou Mao', 'Beining Wu', 'Yanfeng Jiang', 'Bohan Xu', 'Lixin Lin', 'Naye Ji', 'Hao Zhang', 'Yan Tang']",2026,2026-06-14,2026-06-14,http://arxiv.org/abs/2606.15611v1,,,,"precision of student models and the segmentation priors of generalist foundation models, we propose \textbf{MuDuo}, a mutual distillation framework that synergistically leverages SAM-Med3D for CT and SegAnyPET for PET to distill their knowledge into a lightweight student network. Our approach eliminates the need for manual prompts while maximizing the utility",0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/2606.15611v1
de440d1953d905f9352cdbb8,SAM,Deep-EIoU: Selective Mask Propagation for Multi-Object Tracking,Samwise Gamgee,full_acronym,benchmark,machine learning / software,paper,arXiv,SAM-Deep-EIoU: Selective Mask Propagation for Multi-Object Tracking,['Alexander Holmberg'],2026,2026-06-11,2026-06-11,http://arxiv.org/abs/2606.13033v1,,,,SAM-Deep-EIoU: Selective Mask Propagation for Multi-Object Tracking. Multi-object tracking has a heavy-tailed difficulty distribution: most frames are easy for a lightweight base trac,0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/2606.13033v1
cbc28459247e09f2d79164bd,SAMWISE,Infusing Wisdom in SAM2 for Text-Driven Video Segmentation,Samwise Gamgee,full_acronym,benchmark,machine learning / software,paper,arXiv,SAMWISE: Infusing Wisdom in SAM2 for Text-Driven Video Segmentation,"['Claudia Cuttano', 'Gabriele Trivigno', 'Gabriele Rosi', 'Carlo Masone', 'Giuseppe Averta']",2024,2024-11-26,2025-03-25,http://arxiv.org/abs/2411.17646v2,,,,SAMWISE: Infusing Wisdom in SAM2 for Text-Driven Video Segmentation. Referring Video Object Segmentation (RVOS) relies on natural language expressions to segment an object in a video clip,0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/2411.17646v2
90e05433036e2647d1a5fb2b,STRIDER,Navigation via Instruction-Aligned Structural Decision Space Optimization,Aragorn,full_acronym,benchmark,machine learning / software,paper,arXiv,STRIDER: Navigation via Instruction-Aligned Structural Decision Space Optimization,"['Diqi He', 'Xuehao Gao', 'Hao Li', 'Junwei Han', 'Dingwen Zhang']",2025,2025-10-27,2025-10-27,http://arxiv.org/abs/2511.00033v1,,,,STRIDER: Navigation via Instruction-Aligned Structural Decision Space Optimization. The Zero-shot Vision-and-Language Navigation in Continuous Environments (VLN-CE) task requires agents t,0.99,auto_accepted,2026-06-17,2026-06-18,arxiv:http://arxiv.org/abs/2511.00033v1
